Label,Brand,Name,Price,Rank,Ingredients,Combination,Dry,Normal,Oily,Sensitive
Moisturizer,KAT VON D,Lock-It Makeup Setting Mist,26,4.1,Visit the Kat Von D boutique,0,0,0,0,0
Moisturizer,DIOR,Capture Totale Intensive Night Restorative Crème,175,4.5,Visit the Dior boutique,0,0,0,0,0
Moisturizer,TATA HARPER,Repairative Moisturizer,110,3.4,*Ingredients from organic farming. **Clinical grade essential oils blend.,0,1,0,0,0
Moisturizer,DR. JART+,Water Drop Hydrating Moisturizer,36,4.1,#NAME?,1,1,1,1,1
Moisturizer,SHISEIDO,Benefiance NutriPerfect Night Cream,94,4.7,No Info,0,0,0,0,0
Moisturizer,ESTÉE LAUDER,"DayWear Advanced Multi-Protection Anti-Oxidant Creme, Normal/Combination",54,4.1,Visit the Estée Lauder boutique,0,0,0,0,0
Moisturizer,FIRST AID BEAUTY,5 in 1 Face Cream SPF 30,40,3.9,-Zinc Oxide (OTC): Filters harmful UV rays. -Alpha Arbutin: Helps skin appear brighter with a more even skin tone. -Homeostatine: Helps visibly firm and smooth the appearance of skin. -Bisabolol: Helps soothe and calm skin.,1,1,1,1,1
Moisturizer,TATA HARPER,Retinoic Nutrient Face Oil,48,4.3,Visit the Tata Harper boutique,1,1,1,1,1
Moisturizer,PHILOSOPHY,Hope In A Jar,39,4.0,Visit the philosophy boutique,1,1,1,1,1
Moisturizer,DIOR,Capture Youth Age-Delay Advanced Crème,95,3.9,Visit the Dior boutique,1,1,1,1,1
Moisturizer,LANCÔME,ABSOLUE PREMIUM ßx - Absolute Replenishing Lotion SPF 15 Sunscreen,185,4.1,No Info,0,0,0,0,0
Cleanser,TATCHA,The Deep Cleanse,38,4.4,* Hadasei-3,1,0,1,1,1
Cleanser,SHISEIDO,Facial Cotton,10,4.9,No Info,0,0,0,0,0
Cleanser,SEPHORA COLLECTION,Waterproof Eye Makeup Remover,11,4.4,Visit the SEPHORA COLLECTION boutique,0,0,0,0,0
Cleanser,TATA HARPER,Regenerating Cleanser,42,4.2,*Ingredients from organic farming. **Clinical grade essential oils blend.,1,1,1,1,0
Cleanser,SEPHORA COLLECTION,Cleansing & Exfoliating Wipes - Coconut Water,7,4.7,No Info,0,0,0,0,0
Cleanser,SHISEIDO,White Lucent Brightening Cleansing Foam,38,4.5,Visit the Shiseido boutique,0,0,0,0,0
Cleanser,CAUDALIE,Vinopure Natural Salicylic Acid Pore Minimizing Toner,28,3.8,*Plant origin.,1,0,1,1,1
Cleanser,MAKEUP ERASER,The Original MakeUp Eraser® Makeup Remover Cloth,20,4.3,Visit the Makeup Eraser boutique,0,0,0,0,0
Cleanser,TATA HARPER,Purifying Cleanser,70,4.4,*Ingredients from organic farming. **Clinical grade essential oils blend.,1,1,1,1,1
Cleanser,JACK BLACK,Face Buff Energizing Scrub,18,4.8,Visit the Jack Black boutique,0,0,0,0,0
Cleanser,SEPHORA COLLECTION,Cleansing Wipes - Watermelon - Hydrating,7,4.7,No Info,0,0,0,0,0
Cleanser,REN CLEAN SKINCARE,Evercalm™ Gentle Cleansing Milk,30,4.3,Visit the REN Clean Skincare boutique,1,1,1,1,1
Cleanser,SEPHORA COLLECTION,Cleansing Wipes - Rose - Moisturizing,7,4.6,No Info,0,0,0,0,0
Cleanser,SEPHORA COLLECTION,Cleansing & Exfoliating Wipes - Green Tea,7,4.6,No Info,0,0,0,0,0
Cleanser,LANCÔME,MOUSSE RADIANCE Clarifying Self-Foaming Cleanser,32,4.5,Visit the Lancôme boutique,0,0,0,0,0
Cleanser,TATA HARPER,Nourishing Oil Cleanser,76,4.1,*Ingredients from organic farming. **Clinical grade essential oils blend.,1,1,1,1,1
Cleanser,SEPHORA COLLECTION,Exfoliating Wipes - Charcoal - Detoxifying,7,4.2,No Info,0,0,0,0,0
Cleanser,SHISEIDO,Perfect Cleansing Oil,33,4.5,Visit the Shiseido boutique,0,0,0,0,0
Cleanser,SEPHORA COLLECTION,Diamondbuff by Bee Stunning,60,4.5,Visit the SEPHORA COLLECTION boutique,0,0,0,0,0
Cleanser,LANCÔME,Tonique Douceur Softening Hydrating Toner with Rose Water,26,4.4,Visit the Lancôme boutique,0,0,0,0,0
Cleanser,SEPHORA COLLECTION,Micellar Cleansing Water & Milk,7,4.1,Visit the SEPHORA COLLECTION boutique,1,1,1,1,1
Cleanser,SEPHORA COLLECTION,Micellar Cleansing Water & Milk - Pomegranate,7,4.2,No Info,1,1,1,1,1
Cleanser,SEPHORA COLLECTION,Cleansing Wipes - Cucumber - Anti-fatigue,7,4.4,No Info,0,0,0,0,0
Cleanser,PERRICONE MD,High Potency Classics: Nutritive Cleanser,38,4.4,Visit the Perricone MD boutique,1,1,1,1,1
Cleanser,SEPHORA COLLECTION,Exfoilating Wipes - Papaya - Glow,7,4.9,No Info,0,0,0,0,0
Cleanser,DIOR,Hydra Life Micellar Water No Rinse Cleanser,42,4.4,#NAME?,1,1,1,1,0
Cleanser,SEPHORA COLLECTION,Soft Touch Cotton Pads,4,4.6,Visit the SEPHORA COLLECTION boutique,0,0,0,0,0
Cleanser,SEPHORA COLLECTION,Blotting Papers,8,4.3,Visit the SEPHORA COLLECTION boutique,0,0,0,0,0
Cleanser,SHISEIDO,Benefiance WrinkleResist24 Balancing Softener,73,4.3,No Info,0,0,0,0,0
Cleanser,LANCÔME,Tonique Radiance Clarifying Refining Toner,26,4.1,Visit the Lancôme boutique,0,0,0,0,0
Cleanser,KIEHL'S SINCE 1851,Clearly Corrective™ Brightening & Exfoliating Daily Cleanser,29,4.3,Visit the Kiehl's Since 1851 boutique,1,1,1,1,1
Cleanser,SEPHORA COLLECTION,Mattifying Blotting Films,8,4.5,No Info,0,0,0,0,0
Cleanser,CLINIQUE,"Take The Day Off Makeup Remover For Lids, Lashes & Lips Mini",9,3.4,Visit the CLINIQUE boutique,0,0,0,0,0
Cleanser,EVE LOM,3 Muslin Cloths,22,4.3,Visit the Eve Lom boutique,0,0,0,0,0
Cleanser,CLINIQUE,Foaming Sonic Facial Soap,21,4.1,Visit the CLINIQUE boutique,0,0,0,0,0
Cleanser,SEPHORA COLLECTION,Black Magic Set of 2 Makeup Remover Cloths,12,4.6,No Info,0,0,0,0,0
Cleanser,SEPHORA COLLECTION,Exfoliating Wipes - Pineapple - Smoothing,7,4.7,No Info,0,0,0,0,0
Cleanser,SEPHORA COLLECTION,Cleansing Wipes - Pomegranate - Energizing,7,5.0,No Info,0,0,0,0,0
Cleanser,FENTY BEAUTY BY RIHANNA,Invisimatte Blotting Paper,16,3.9,Visit the FENTY BEAUTY by Rihanna boutique,0,0,0,0,0
Treatment,LANCÔME,Advanced Génifique Youth Activating Serum,105,4.5,Visit the Lancôme boutique,1,1,1,1,1
Treatment,CAUDALIE,Vinopure Natural Salicylic Acid Pore Minimizing Serum,49,4.4,*Plant origin.,1,0,1,1,1
Treatment,PEACE OUT,Acne Healing Dots,19,4.3,-Salicylic Acid 0.5%: Dissolves pore congestion and fights acne-causing bacteria. -Vitamin A 0.5%: Promotes skin turnover and prevents clogged pores. -Aloe Vera 0.5%: Calms and cools redness and irritation. -Hydrocolloid Dressing: Extracts impurities while creating a protective barrier that guards again external irritants.,1,1,1,1,1
Treatment,DIOR,Capture Youth Collection,95,4.3,Visit the Dior boutique,1,1,1,1,1
Treatment,DIOR,One Essential Skin Boosting Super Serum,100,4.6,Visit the Dior boutique,1,1,1,0,0
Treatment,JOSIE MARAN,Pure Argan Milk™ Intensive Hydrating Treatment,56,4.0,Water** (and) Argania Spinosa (Argan) Kernel Oil* (and) Propanediol** (and) Glyceryl Caprylate** (and) Glyceryl Undecylenate** (and) Phosphatidylglycerol** (and) Sodium Benzoate** (and) Xanthan Gum** (and) Citric Acid**. *Organic. **Natural.,1,1,0,0,1
Treatment,GUERLAIN,Abeille Royale Daily Repair Serum,150,3.6,#NAME?,0,0,0,0,0
Treatment,DIOR,Capture Totale Dreamskin Advanced Refill,128,5.0,Visit the Dior boutique,1,1,1,1,1
Treatment,DR. DENNIS GROSS SKINCARE,Alpha Beta® Medi–Spa Peel,64,4.5,Visit the Dr. Dennis Gross Skincare boutique,1,1,1,1,0
Treatment,DIOR,Capture Youth Glow Booster Age-Delay Illuminating Serum,95,4.9,Visit the Dior boutique,1,0,1,0,0
Treatment,FOREO,Espada Acne-Clearing Blue Light Pen,149,3.9,Visit the Foreo boutique,1,1,1,1,1
Treatment,LIGHTSTIM,Lightstim® for Acne,169,4.0,Visit the LightStim boutique,1,1,1,1,1
Treatment,PETER THOMAS ROTH,Acne System,35,4.3,-4% Glycolic Acid Complex: Helps to exfoliate dead surface skin cells and helps stimulate cellular turnover. -Allantoin: Helps soothe and calm the skin. -Aloe Vera: Helps soothe and hydrate the skin. -2% Salicylic Acid (BHA): Helps loosen sebum within the pores and prevent future breakouts.,1,1,1,1,1
Treatment,REN CLEAN SKINCARE,Evercalm™ Anti-Redness Serum,48,3.8,Visit the REN Clean Skincare boutique,1,1,1,1,1
Treatment,CLARINS,Hydra-Essentiel Bi-Phase Serum,59,4.6,Visit the Clarins boutique,1,1,1,1,1
Treatment,MURAD,Acne Clear Control 30-Day Kit,29,3.3,Visit the Murad boutique,1,0,0,1,0
Treatment,DIOR,Capture Youth Lift Sculptor Age-Delay Lifting Serum,95,5.0,Visit the Dior boutique,0,1,1,0,0
Treatment,DIOR,Capture Youth Plump Filler Age-Delay Plumping Serum,95,4.4,Visit the Dior boutique,0,1,1,0,0
Treatment,DIOR,Hydra Life Deep Hydration Sorbet Water Essence,73,4.6,-Haberlea Leaf Extract: Supports the natural production of ingredients essential to its beauty. -French Mallow: Supports natural aquaporin synthesis to invigorate water circulation. -Natural Fruit Extracts.,1,0,1,1,0
Treatment,DR. DENNIS GROSS SKINCARE,Doctor's Kit Gold Standard Anti-Aging Solution,59,5.0,Visit the Dr. Dennis Gross Skincare boutique,1,1,1,1,1
Treatment,DIOR,Diorsnow Brightening Refining Moist Cloud Crème,125,4.9,Visit the Dior boutique,1,1,1,0,0
Treatment,SKIN INC SUPPLEMENT BAR,My Daily Dose Custom-Blended Serum Set,84,4.3,Visit the Skin Inc Supplement Bar boutique,0,0,0,0,0
Treatment,DIOR,Diorsnow Essence of Light Pure Concentrate of Light Brightening Milk Serum,140,4.5,Visit the Dior boutique,1,1,1,1,1
Treatment,PHILOSOPHY,Time In A Bottle 100% In-Control,76,4.0,Visit the philosophy boutique,1,1,1,1,1
Treatment,REN CLEAN SKINCARE,Flash Hydro-Boost Instant Plumping Emulsion,42,4.5,* 100% Natural Fragrance,1,1,1,1,1
Treatment,PERRICONE MD,High Potency Classics: Hyaluronic Intensive Moisturizer,69,4.5,Visit the Perricone MD boutique,0,0,0,0,0
Treatment,JACK BLACK,Line Smoother Oil-Free Moisturizer,32,4.5,Visit the Jack Black boutique,0,0,0,0,0
Treatment,SEPHORA COLLECTION,3-in-1 Extractor,23,3.9,Visit the SEPHORA COLLECTION boutique,0,0,0,0,0
Treatment,PERRICONE MD,High Potency Classics: Face Firming Serum,99,4.1,Visit the Perricone MD boutique,0,0,0,0,0
Face Mask,DR. JART+,Mask Heroes Face Savers,36,4.9,Visit the Dr. Jart+ boutique,1,1,1,1,1
Face Mask,TATCHA,Violet-C Radiance Mask,68,4.1,* Hadasei-3,1,1,1,1,1
Face Mask,KORA ORGANICS,Turmeric 2-in-1 Brightening & Exfoliating Mask,48,4.6,**From essential oils.,1,1,1,1,1
Face Mask,ORIGINS,"Hello, Calm Relaxing & Hydrating Face Mask with Cannabis Sativa Seed Oil",28,4.8,**Essential Oil.,1,1,1,1,0
Face Mask,REN CLEAN SKINCARE,Glycol Lactic Radiance Renewal Mask,56,4.4,Visit the REN Clean Skincare boutique,1,1,1,1,0
Face Mask,ORIGINS,Clear Improvement™ Charcoal Honey Mask to Purify and Nourish,34,4.7,*Essential Oil,1,1,1,1,0
Face Mask,SHISEIDO,White Lucent Power Brightening Mask,70,4.4,-4MSK: Helps remove melanin trapped in dark spots and ion force complex works to slough off the surface cells that contain melanin.,0,0,0,0,0
Face Mask,SHISEIDO,Benefiance Pure Retinol Intensive Revitalizing Face Mask,65,4.4,Visit the Shiseido boutique,0,0,0,0,0
Face Mask,REN CLEAN SKINCARE,Evercalm™ Ultra Comforting Rescue Mask,38,4.5,*100% Natural Fragrance,0,0,0,0,1
Face Mask,SEPHORA COLLECTION,SUPERMASK - The Bubble Mask,6,4.7,Visit the SEPHORA COLLECTION boutique,1,1,1,1,1
Face Mask,ERNO LASZLO,Hydra-Therapy Memory Sleep Mask,95,4.7,Visit the Erno Laszlo boutique,0,0,0,0,0
Face Mask,TATA HARPER,Purifying Mask,68,4.4,*Ingredients from organic farming. **Clinical grade essential oils blend.,1,1,1,1,0
Face Mask,DIOR,Hydra Life Jelly Sleeping Mask,69,4.4,Visit the Dior boutique,0,0,0,0,0
Face Mask,FOREO,Call It A Night Revitalizing & Nourishing UFO™ Activated Mask,9,4.7,-Ginseng -Olive Oil,1,1,1,1,1
Face Mask,FOREO,Make My Day Hydrating & Anti-Pollution UFO™ Activated Mask,9,5.0,-Hyaluronic Acid -Red Algae,1,1,1,1,1
Face Mask,DR. DENNIS GROSS SKINCARE,Clarifying Colloidal Sulfur Mask,42,4.3,-Retinol: Helps smooth wrinkles and lines while increasing moisture and elasticity. -Licorice Root Extract: Lightens and is an anti-inflammatory. -Colloidal Sulfur: Reduces acne blemishes and absorbs oil. -Bentonite: A naturally occuring white clay that helps absorb oil and mattify. -Prickly Pear: Calms redness and irritation.,0,0,0,0,0
Face Mask,PERRICONE MD,Chlorophyll Detox Mask,69,4.5,Visit the Perricone MD boutique,0,0,0,0,0
Face Mask,FOREO,H2Overdose Mask,19,5.0,-Hyaluronic Acid -Ceramide,1,1,1,1,1
Face Mask,DIOR,Capture Totale Dreamskin 1-Minute Mask,75,3.8,Visit the Dior boutique,1,1,1,1,1
Face Mask,TOO COOL FOR SCHOOL,Pumpkin Sleeping Pack,20,4.3,Visit the Too Cool For School boutique,1,1,1,1,1
Face Mask,LANCÔME,Hydra Zen Masque Anti-Stress Moisturizing Night Face Mask,48,4.6,Visit the Lancôme boutique,1,1,1,1,1
Face Mask,FOREO,Glow Addict Mask,19,0.0,-Pearl Extract -Niacinamide,1,1,1,1,1
Face Mask,TOO COOL FOR SCHOOL,Pumpkin 24K Gold Sheet Mask,8,3.6,Visit the Too Cool For School boutique,1,1,1,1,1
Face Mask,FOREO,Matte Maniac Mask,19,2.8,-Charcoal -Snow Lotus,1,1,1,1,1
Face Mask,DIOR,Hydra Life Extra Plump Smooth Balm Mask,69,4.6,-Natural White Pine Oil: Comforts and soothes. -Balanced Botanical Blend Including Shea butter and Jojoba: Nourishes the skin.,1,1,1,0,0
Face Mask,FOREO,Shimmer Freak Mask,19,1.0,-Rose Water -Caffeine-infused,1,1,1,1,1
Face Mask,DIOR,Hydra Life Pores Away Pink Clay Mask,69,4.2,-Natural Pink Clay: Mattifies. -Jojoba Extract: Hydrates.,1,0,1,1,0
Face Mask,PHILOSOPHY,Renewed Hope in A Jar Moisture Mask,37,4.8,Visit the philosophy boutique,1,1,1,1,1
Face Mask,LANCÔME,Energie de Vie Glow Boosting Mini Mask Trio,39,5.0,Visit the Lancôme boutique,1,1,1,1,1
Eye cream,OLEHENRIKSEN,Uplifting Transformation™ Eye Crème,42,3.9,Visit the OLEHENRIKSEN boutique,1,1,1,1,1
Eye cream,SHISEIDO,White Lucent Anti-Dark Circles Eye Cream,60,3.6,Visit the Shiseido boutique,0,0,0,0,0
Eye cream,PERRICONE MD,Hypoallergenic Firming Eye Cream,72,4.4,Visit the Perricone MD boutique,1,1,1,1,1
Eye cream,SEPHORA COLLECTION,Eye Mask - Cucumber - Anti-Puffiness,5,3.0,Visit the SEPHORA COLLECTION boutique,0,0,0,0,0
Eye cream,CAUDALIE,Premier Cru Eye Cream,99,3.3,*plant origin,1,1,1,1,1
Eye cream,DIOR,One Essential Eye Serum,72,4.5,No Info,1,0,1,0,0
Eye cream,PHILOSOPHY,Anti-Wrinkle Miracle Worker Retinoid Eye Repair Cream,68,3.8,Visit the philosophy boutique,1,1,1,1,1
Eye cream,ORIGINS,Plantscription™ Anti-Aging Eye Treatment,48,4.1,Visit the Origins boutique,0,0,0,0,0
Eye cream,LANCÔME,ABSOLUE PREMIUM Bx - Absolute Replenishing Eye Cream,110,3.7,Visit the Lancôme boutique,0,0,0,0,0
Eye cream,CLINIQUE,Repairwear Anti-Gravity Eye Lift Cream,45,4.2,Visit the CLINIQUE boutique,0,0,0,0,0
Eye cream,DR. DENNIS GROSS SKINCARE,SpectraLite EyeCare Pro LED Device,159,3.9,Visit the Dr. Dennis Gross Skincare boutique,1,1,1,1,1
Eye cream,GUERLAIN,Orchidee Imperiale The Eye and Lip Contour Cream,200,3.0,Visit the Guerlain boutique,1,1,1,1,1
Eye cream,SHISEIDO,Sun Protection Eye Cream Broad Spectrum SPF 34 Sunscreen,34,4.4,Visit the Shiseido boutique,0,0,0,0,0
Eye cream,DIOR,Capture Totale Multi-Perfection Eye Treatment,105,3.5,Visit the Dior boutique,0,0,0,0,0
Eye cream,FOREO,IRIS™ Illuminating Eye Massager,139,3.5,Visit the Foreo boutique,0,0,0,0,0
Eye cream,L'OCCITANE,Immortelle Eye Balm,44,4.1,Visit the L'Occitane boutique,0,0,0,0,0
Eye cream,BEAUTYBIO,GloPRO® EYE MicroTip™ Attachment Head,35,0.0,Visit the BeautyBio boutique,0,0,0,0,0
Eye cream,KIEHL'S SINCE 1851,Eye Fuel,22,4.0,Visit the Kiehl's Since 1851 boutique,1,1,1,1,1
Eye cream,PERRICONE MD,No Makeup Concealer Broad Spectrum SPF 35,35,3.8,Visit the Perricone MD boutique,1,1,1,1,1
Eye cream,SHISEIDO,Benefiance NutriPerfect Eye Serum,76,4.0,Visit the Shiseido boutique,0,0,0,0,0
Eye cream,DIOR,Capture Totale 360 Light-Up Open-Up Replenishing Eye Serum,110,4.1,Visit the Dior boutique,0,0,0,0,0
Eye cream,CLARINS,Multi-Active Eye,45,3.4,Visit the Clarins boutique,1,1,1,1,1
Eye cream,BAREMINERALS,BRILLIANT FUTURE™ Age Defense & Renew Eye Cream,38,3.5,Visit the bareMinerals boutique,1,1,1,1,0
Eye cream,GUERLAIN,Orchidée Impériale Eye Serum,230,5.0,Visit the Guerlain boutique,0,0,0,0,0
Eye cream,NARS,Total Replenishing Eye Cream,58,3.3,Visit the NARS boutique,0,0,0,0,0
Eye cream,YVES SAINT LAURENT,Forever Light Creator Eye Fluid,73,3.4,No Info,0,0,0,0,0
Eye cream,KENZOKI,Belle de Jour Angel Eyes White Lotus Care,71,3.5,Visit the KENZOKI boutique,0,0,0,0,0
Eye cream,CLINIQUE,Go-Go Eyes,26,3.7,No Info,1,1,1,1,1
Eye cream,APIVITA,Express Beauty Mask With Ginkgo Biloba,30,4.0,"** Camelia Sinensis, Leaf Aqueous Infusion (Green tea water), * Certified organic cultivation.",0,0,0,0,0
Sun protect,LAURA MERCIER,Tinted Moisturizer Broad Spectrum SPF 20,45,4.4,Visit the Laura Mercier boutique,0,0,0,0,0
Sun protect,LAURA MERCIER,Tinted Moisturizer Broad Spectrum SPF 20 - Oil Free,45,4.3,Visit the Laura Mercier boutique,0,0,0,0,0
Sun protect,NARS,Pure Radiant Tinted Moisturizer Broad Spectrum SPF 30,45,4.4,Visit the NARS boutique,0,0,0,0,0
Sun protect,CLARINS,UV PLUS Anti-Pollution Sunscreen Multi-Protection Tint SPF 50,45,4.1,Visit the Clarins boutique,0,0,0,0,0
Sun protect,SHISEIDO,Urban Environment Tinted UV Protector Broad Spectrum SPF 43,34,4.3,Visit the Shiseido boutique,0,0,0,0,0
Sun protect,LAURA MERCIER,Foundation Primer Protect Broad Spectrum SPF 30 Sunscreen PA+++,38,4.1,Visit the Laura Mercier boutique,0,0,0,0,0
Sun protect,JOSIE MARAN,Argan Daily Moisturizer Tinted SPF 47 Protect + Perfect,36,4.0,*Organic. **Natural.,0,0,0,0,0
Sun protect,LANCÔME,Bienfait Multi-Vital Sunscreen Lotion Broad Spectrum SPF 30,49,4.2,No Info,0,0,0,0,0
Sun protect,SEPHORA COLLECTION,8 HR Mattifying Moisturizer Sunscreen Broad Spectrum SPF20,23,4.2,Visit the SEPHORA COLLECTION boutique,1,1,1,1,1
Sun protect,CLINIQUE,Age Defense BB Cream Broad Spectrum SPF 30,39,3.9,Visit the CLINIQUE boutique,0,0,0,0,0
Sun protect,ESTÉE LAUDER,Daywear Advanced Multi-Protection Anti-Oxidant Creme Oil-Free Broad Spectrum SPF 25,54,3.8,Visit the Estée Lauder boutique,0,0,0,0,0
Sun protect,SHISEIDO,Benefiance NutriPerfect Day Cream Broad Spectrum SPF 18,90,4.1,No Info,0,0,0,0,0
Sun protect,SUPERGOOP!,Supergoop! x Milly Defense Refresh Setting Mist Broad Spectrum Sunscreen SPF 50,28,3.7,Visit the Supergoop! boutique,1,1,1,1,1
Sun protect,DIOR,One Essential City Defense SPF 50,59,4.3,Visit the Dior boutique,0,0,0,0,0
Sun protect,AMOREPACIFIC,Natural Protector Broad Spectrum SPF 35 Sunscreen,65,4.0,Visit the AMOREPACIFIC boutique,1,1,1,1,1
Sun protect,JACK BLACK,Oil-Free Sun Guard Sunscreen Water Resistant SPF 45,21,4.6,*Certified Organic,0,0,0,0,0
Sun protect,CLARINS,50+ SPF Sunscreen For Face Wrinkle Control Cream,35,4.1,Visit the Clarins boutique,0,0,0,0,0
Sun protect,SHISEIDO,Extra Smooth Sun Protection Cream SPF 38 PA+++,34,4.5,-Octinoxate (7.4%) and Zinc Oxide (9.6%): Protect skin against sun damage.,0,0,0,0,0
Sun protect,DR. DENNIS GROSS SKINCARE,Sheer Mineral Sun Spray SPF 50,42,4.1,-Zinc Oxide 12%: Provides broad spectrum UVA/UVB protection. -Green Tea Extract: Protects against free radicals and environmental toxins. -Resveratrol: Potent antioxidant and antiaging polyphenol; protects from free radical damage. -Ubiquinone (CoQ10): Defends skin from free radicals and supports natural cell turnover.,0,0,0,0,0
Sun protect,BELIF,Moisturizing Bomb Cushion Compact Broad Spectrum SPF 50,42,3.7,*Fragrances of natural origin.,1,1,1,1,0
Sun protect,ILIA,Radiant Translucent Powder SPF 20,34,4.8,This ingredient list is subject to change. It is the most up-to-date ingredient list and may differ from product packaging.,0,0,0,0,0
Sun protect,KAPLAN MD,Daily Moisture SPF 30 Concentrate,100,4.0,*USDA National Organic Program Certified Organic Extracts.,0,0,0,0,0
